         N                  S1                  S2               Delta
         1                   1                   1                   0
         2                 1.5                 1.5                   0
         3             1.83333             1.83333                   0
         4             2.08333             2.08333                   0
         5             2.28333             2.28333                   0
         6                2.45                2.45                   0
         7             2.59286             2.59286                   0
         8             2.71786             2.71786                   0
         9             2.82897             2.82897                   0
        10             2.92897             2.92897                   0
        11             3.01988             3.01988                   0
        12             3.10321             3.10321                   0
        13             3.18013             3.18013                   0
        14             3.25156             3.25156                   0
        15             3.31823             3.31823                   0
        16             3.38073             3.38073                   0
        17             3.43955             3.43955                   0
        18             3.49511             3.49511                   0
        19             3.54774             3.54774                   0
        20             3.59774             3.59774                   0
        21             3.64536             3.64536                   0
        22             3.69081             3.69081                   0
        23             3.73429             3.73429                   0
        24             3.77596             3.77596                   0
        25             3.81596             3.81596                   0
        26             3.85442             3.85442                   0
        27             3.89146             3.89146                   0
        28             3.92717             3.92717                   0
        29             3.96165             3.96165                   0
        30             3.99499             3.99499                   0
        31             4.02725             4.02725                   0
        32              4.0585              4.0585                   0
        33              4.0888              4.0888                   0
        34             4.11821             4.11821                   0
        35             4.14678             4.14678                   0
        36             4.17456             4.17456                   0
        37             4.20159             4.20159                   0
        38              4.2279              4.2279                   0
        39             4.25354             4.25354                   0
        40             4.27854             4.27854                   0
        41             4.30293             4.30293                   0
        42             4.32674             4.32674                   0
        43                4.35                4.35                   0
        44             4.37273             4.37273                   0
        45             4.39495             4.39495                   0
        46             4.41669             4.41669                   0
        47             4.43796             4.43796                   0
        48              4.4588              4.4588                   0
        49             4.47921             4.47921                   0
        50             4.49921             4.49921                   0
        51             4.51881             4.51881                   0
        52             4.53804             4.53804                   0
        53             4.55691             4.55691                   0
        54             4.57543             4.57543                   0
        55             4.59361             4.59361                   0
        56             4.61147             4.61147                   0
        57             4.62901             4.62901                   0
        58             4.64625             4.64625                   0
        59              4.6632              4.6632                   0
        60             4.67987             4.67987                   0
        61             4.69626             4.69626                   0
        62             4.71239             4.71239                   0
        63             4.72827             4.72827                   0
        64             4.74389             4.74389                   0
        65             4.75928             4.75928                   0
        66             4.77443             4.77443                   0
        67             4.78935             4.78935                   0
        68             4.80406             4.80406                   0
        69             4.81855             4.81855                   0
        70             4.83284             4.83284                   0
        71             4.84692             4.84692                   0
        72             4.86081             4.86081                   0
        73             4.87451             4.87451                   0
        74             4.88802             4.88802                   0
        75             4.90136             4.90136                   0
        76             4.91451             4.91451                   0
        77              4.9275              4.9275                   0
        78             4.94032             4.94032                   0
        79             4.95298             4.95298                   0
        80             4.96548             4.96548                   0
        81             4.97782             4.97782                   0
        82             4.99002             4.99002                   0
        83             5.00207             5.00207                   0
        84             5.01397             5.01397                   0
        85             5.02574             5.02574                   0
        86             5.03737             5.03737                   0
        87             5.04886             5.04886                   0
        88             5.06022             5.06022                   0
        89             5.07146             5.07146                   0
        90             5.08257             5.08257                   0
        91             5.09356             5.09356                   0
        92             5.10443             5.10443                   0
        93             5.11518             5.11518                   0
        94             5.12582             5.12582                   0
        95             5.13635             5.13635                   0
        96             5.14676             5.14676                   0
        97             5.15707             5.15707                   0
        98             5.16728             5.16728                   0
        99             5.17738             5.17738                   0
       100             5.18738             5.18738                   0
       101             5.19728             5.19728                   0
       102             5.20708             5.20708                   0
       103             5.21679             5.21679                   0
       104             5.22641             5.22641                   0
       105             5.23593             5.23593                   0
       106             5.24536             5.24536                   0
       107             5.25471             5.25471                   0
       108             5.26397             5.26397                   0
       109             5.27314             5.27314                   0
       110             5.28223             5.28223                   0
       111             5.29124             5.29124                   0
       112             5.30017             5.30017                   0
       113             5.30902             5.30902                   0
       114             5.31779             5.31779                   0
       115             5.32649             5.32649                   0
       116             5.33511             5.33511                   0
       117             5.34366             5.34366                   0
       118             5.35213             5.35213                   0
       119             5.36053             5.36053                   0
       120             5.36887             5.36887                   0
       121             5.37713             5.37713                   0
       122             5.38533             5.38533                   0
       123             5.39346             5.39346                   0
       124             5.40152             5.40152                   0
       125             5.40952             5.40952                   0
       126             5.41746             5.41746                   0
       127             5.42533             5.42533                   0
       128             5.43315             5.43315                   0
       129              5.4409              5.4409                   0
       130             5.44859             5.44859                   0
       131             5.45622             5.45622                   0
       132              5.4638              5.4638                   0
       133             5.47132             5.47132                   0
       134             5.47878             5.47878                   0
       135             5.48619             5.48619                   0
       136             5.49354             5.49354                   0
       137             5.50084             5.50084                   0
       138             5.50809             5.50809                   0
       139             5.51528             5.51528                   0
       140             5.52243             5.52243                   0
       141             5.52952             5.52952                   0
       142             5.53656             5.53656                   0
       143             5.54355             5.54355                   0
       144              5.5505              5.5505                   0
       145             5.55739             5.55739                   0
       146             5.56424             5.56424                   0
       147             5.57105             5.57105                   0
       148              5.5778              5.5778                   0
       149             5.58451             5.58451                   0
       150             5.59118             5.59118                   0
       151              5.5978              5.5978                   0
       152             5.60438             5.60438                   0
       153             5.61092             5.61092                   0
       154             5.61741             5.61741                   0
       155             5.62386             5.62386                   0
       156             5.63027             5.63027                   0
       157             5.63664             5.63664                   0
       158             5.64297             5.64297                   0
       159             5.64926             5.64926                   0
       160             5.65551             5.65551                   0
       161             5.66172             5.66172                   0
       162              5.6679              5.6679                   0
       163             5.67403             5.67403                   0
       164             5.68013             5.68013                   0
       165             5.68619             5.68619                   0
       166             5.69221             5.69221                   0
       167              5.6982              5.6982                   0
       168             5.70415             5.70415                   0
       169             5.71007             5.71007                   0
       170             5.71595             5.71595                   0
       171              5.7218              5.7218                   0
       172             5.72761             5.72761                   0
       173             5.73339             5.73339                   0
       174             5.73914             5.73914                   0
       175             5.74486             5.74486                   0
       176             5.75054             5.75054                   0
       177             5.75619             5.75619                   0
       178             5.76181             5.76181                   0
       179             5.76739             5.76739                   0
       180             5.77295             5.77295                   0
       181             5.77847             5.77847                   0
       182             5.78397             5.78397                   0
       183             5.78943             5.78943                   0
       184             5.79487             5.79487                   0
       185             5.80027             5.80027                   0
       186             5.80565             5.80565                   0
       187               5.811               5.811                   0
       188             5.81631             5.81631                   0
       189             5.82161             5.82161                   0
       190             5.82687             5.82687                   0
       191              5.8321              5.8321                   0
       192             5.83731             5.83731                   0
       193             5.84249             5.84249                   0
       194             5.84765             5.84765                   0
       195             5.85278             5.85278                   0
       196             5.85788             5.85788                   0
       197             5.86296             5.86296                   0
       198             5.86801             5.86801                   0
       199             5.87303             5.87303                   0
       200             5.87803             5.87803                   0
       201             5.88301             5.88301                   0
       202             5.88796             5.88796                   0
       203             5.89288             5.89288                   0
       204             5.89778             5.89778                   0
       205             5.90266             5.90266                   0
       206             5.90752             5.90752                   0
       207             5.91235             5.91235                   0
       208             5.91716             5.91716                   0
       209             5.92194             5.92194                   0
       210              5.9267              5.9267                   0
       211             5.93144             5.93144                   0
       212             5.93616             5.93616                   0
       213             5.94085             5.94085                   0
       214             5.94553             5.94553                   0
       215             5.95018             5.95018                   0
       216             5.95481             5.95481                   0
       217             5.95942             5.95942                   0
       218               5.964               5.964                   0
       219             5.96857             5.96857                   0
       220             5.97311             5.97311                   0
       221             5.97764             5.97764                   0
       222             5.98214             5.98214                   0
       223             5.98663             5.98663                   0
       224             5.99109             5.99109                   0
       225             5.99554             5.99554                   0
       226             5.99996             5.99996                   0
       227             6.00437             6.00437                   0
       228             6.00875             6.00875                   0
       229             6.01312             6.01312                   0
       230             6.01747             6.01747                   0
       231              6.0218              6.0218                   0
       232             6.02611             6.02611                   0
       233              6.0304              6.0304                   0
       234             6.03467             6.03467                   0
       235             6.03893             6.03893                   0
       236             6.04316             6.04316                   0
       237             6.04738             6.04738                   0
       238             6.05159             6.05159                   0
       239             6.05577             6.05577                   0
       240             6.05994             6.05994                   0
       241             6.06409             6.06409                   0
       242             6.06822             6.06822                   0
       243             6.07233             6.07233                   0
       244             6.07643             6.07643                   0
       245             6.08051             6.08051                   0
       246             6.08458             6.08458                   0
       247             6.08863             6.08863                   0
       248             6.09266             6.09266                   0
       249             6.09668             6.09668                   0
       250             6.10068             6.10068                   0
       251             6.10466             6.10466                   0
       252             6.10863             6.10863                   0
       253             6.11258             6.11258                   0
       254             6.11652             6.11652                   0
       255             6.12044             6.12044                   0
       256             6.12434             6.12434                   0
       257             6.12824             6.12824                   0
       258             6.13211             6.13211                   0
       259             6.13597             6.13597                   0
       260             6.13982             6.13982                   0
       261             6.14365             6.14365                   0
       262             6.14747             6.14747                   0
       263             6.15127             6.15127                   0
       264             6.15506             6.15506                   0
       265             6.15883             6.15883                   0
       266             6.16259             6.16259                   0
       267             6.16634             6.16634                   0
       268             6.17007             6.17007                   0
       269             6.17378             6.17378                   0
       270             6.17749             6.17749                   0
       271             6.18118             6.18118                   0
       272             6.18485             6.18485                   0
       273             6.18852             6.18852                   0
       274             6.19217             6.19217                   0
       275              6.1958              6.1958                   0
       276             6.19943             6.19943                   0
       277             6.20304             6.20304                   0
       278             6.20663             6.20663                   0
       279             6.21022             6.21022                   0
       280             6.21379             6.21379                   0
       281             6.21735             6.21735                   0
       282             6.22089             6.22089                   0
       283             6.22443             6.22443                   0
       284             6.22795             6.22795                   0
       285             6.23146             6.23146                   0
       286             6.23495             6.23495                   0
       287             6.23844             6.23844                   0
       288             6.24191             6.24191                   0
       289             6.24537             6.24537                   0
       290             6.24882             6.24882                   0
       291             6.25226             6.25226                   0
       292             6.25568             6.25568                   0
       293             6.25909             6.25909                   0
       294              6.2625              6.2625                   0
       295             6.26588             6.26588                   0
       296             6.26926             6.26926                   0
       297             6.27263             6.27263                   0
       298             6.27599             6.27599                   0
       299             6.27933             6.27933                   0
       300             6.28266             6.28266                   0
       301             6.28599             6.28599                   0
       302              6.2893              6.2893                   0
       303              6.2926              6.2926                   0
       304             6.29589             6.29589                   0
       305             6.29917             6.29917                   0
       306             6.30243             6.30243                   0
       307             6.30569             6.30569                   0
       308             6.30894             6.30894                   0
       309             6.31217             6.31217                   0
       310              6.3154              6.3154                   0
       311             6.31862             6.31862                   0
       312             6.32182             6.32182                   0
       313             6.32502             6.32502                   0
       314              6.3282              6.3282                   0
       315             6.33137             6.33137                   0
       316             6.33454             6.33454                   0
       317             6.33769             6.33769                   0
       318             6.34084             6.34084                   0
       319             6.34397             6.34397                   0
       320              6.3471              6.3471                   0
       321             6.35021             6.35021                   0
       322             6.35332             6.35332                   0
       323             6.35642             6.35642                   0
       324              6.3595              6.3595                   0
       325             6.36258             6.36258                   0
       326             6.36565             6.36565                   0
       327              6.3687              6.3687                   0
       328             6.37175             6.37175                   0
       329             6.37479             6.37479                   0
       330             6.37782             6.37782                   0
       331             6.38084             6.38084                   0
       332             6.38386             6.38386                   0
       333             6.38686             6.38686                   0
       334             6.38985             6.38985                   0
       335             6.39284             6.39284                   0
       336             6.39581             6.39581                   0
       337             6.39878             6.39878                   0
       338             6.40174             6.40174                   0
       339             6.40469             6.40469                   0
       340             6.40763             6.40763                   0
       341             6.41056             6.41056                   0
       342             6.41349             6.41349                   0
       343              6.4164              6.4164                   0
       344             6.41931             6.41931                   0
       345             6.42221             6.42221                   0
       346              6.4251              6.4251                   0
       347             6.42798             6.42798                   0
       348             6.43085             6.43085                   0
       349             6.43372             6.43372                   0
       350             6.43658             6.43658                   0
       351             6.43943             6.43943                   0
       352             6.44227             6.44227                   0
       353              6.4451              6.4451                   0
       354             6.44792             6.44792                   0
       355             6.45074             6.45074                   0
       356             6.45355             6.45355                   0
       357             6.45635             6.45635                   0
       358             6.45914             6.45914                   0
       359             6.46193             6.46193                   0
       360             6.46471             6.46471                   0
       361             6.46748             6.46748                   0
       362             6.47024             6.47024                   0
       363               6.473               6.473                   0
       364             6.47574             6.47574                   0
       365             6.47848             6.47848                   0
       366             6.48121             6.48121                   0
       367             6.48394             6.48394                   0
       368             6.48666             6.48666                   0
       369             6.48937             6.48937                   0
       370             6.49207             6.49207                   0
       371             6.49476             6.49476                   0
       372             6.49745             6.49745                   0
       373             6.50013             6.50013                   0
       374             6.50281             6.50281                   0
       375             6.50547             6.50547                   0
       376             6.50813             6.50813                   0
       377             6.51079             6.51079                   0
       378             6.51343             6.51343                   0
       379             6.51607             6.51607                   0
       380              6.5187              6.5187                   0
       381             6.52133             6.52133                   0
       382             6.52394             6.52394                   0
       383             6.52656             6.52656                   0
       384             6.52916             6.52916                   0
       385             6.53176             6.53176                   0
       386             6.53435             6.53435                   0
       387             6.53693             6.53693                   0
       388             6.53951             6.53951                   0
       389             6.54208             6.54208                   0
       390             6.54464             6.54464                   0
       391              6.5472              6.5472                   0
       392             6.54975             6.54975                   0
       393              6.5523              6.5523                   0
       394             6.55484             6.55484                   0
       395             6.55737             6.55737                   0
       396             6.55989             6.55989                   0
       397             6.56241             6.56241                   0
       398             6.56492             6.56492                   0
       399             6.56743             6.56743                   0
       400             6.56993             6.56993                   0
       401             6.57242             6.57242                   0
       402             6.57491             6.57491                   0
       403             6.57739             6.57739                   0
       404             6.57987             6.57987                   0
       405             6.58234             6.58234                   0
       406              6.5848              6.5848                   0
       407             6.58726             6.58726                   0
       408             6.58971             6.58971                   0
       409             6.59215             6.59215                   0
       410             6.59459             6.59459                   0
       411             6.59702             6.59702                   0
       412             6.59945             6.59945                   0
       413             6.60187             6.60187                   0
       414             6.60429             6.60429                   0
       415              6.6067              6.6067                   0
       416              6.6091              6.6091                   0
       417              6.6115              6.6115                   0
       418             6.61389             6.61389                   0
       419             6.61628             6.61628                   0
       420             6.61866             6.61866                   0
       421             6.62104             6.62104                   0
       422             6.62341             6.62341                   0
       423             6.62577             6.62577                   0
       424             6.62813             6.62813                   0
       425             6.63048             6.63048                   0
       426             6.63283             6.63283                   0
       427             6.63517             6.63517                   0
       428             6.63751             6.63751                   0
       429             6.63984             6.63984                   0
       430             6.64216             6.64216                   0
       431             6.64448             6.64448                   0
       432              6.6468              6.6468                   0
       433             6.64911             6.64911                   0
       434             6.65141             6.65141                   0
       435             6.65371             6.65371                   0
       436               6.656               6.656                   0
       437             6.65829             6.65829                   0
       438             6.66058             6.66058                   0
       439             6.66285             6.66285                   0
       440             6.66513             6.66513                   0
       441             6.66739             6.66739                   0
       442             6.66966             6.66966                   0
       443             6.67191             6.67191                   0
       444             6.67417             6.67417                   0
       445             6.67641             6.67641                   0
       446             6.67866             6.67866                   0
       447             6.68089             6.68089                   0
       448             6.68312             6.68312                   0
       449             6.68535             6.68535                   0
       450             6.68757             6.68757                   0
       451             6.68979             6.68979                   0
       452               6.692               6.692                   0
       453             6.69421             6.69421                   0
       454             6.69641             6.69641                   0
       455             6.69861             6.69861                   0
       456              6.7008              6.7008                   0
       457             6.70299             6.70299                   0
       458             6.70518             6.70518                   0
       459             6.70735             6.70735                   0
       460             6.70953             6.70953                   0
       461              6.7117              6.7117                   0
       462             6.71386             6.71386                   0
       463             6.71602             6.71602                   0
       464             6.71818             6.71818                   0
       465             6.72033             6.72033                   0
       466             6.72247             6.72247                   0
       467             6.72462             6.72462                   0
       468             6.72675             6.72675                   0
       469             6.72888             6.72888                   0
       470             6.73101             6.73101                   0
       471             6.73313             6.73313                   0
       472             6.73525             6.73525                   0
       473             6.73737             6.73737                   0
       474             6.73948             6.73948                   0
       475             6.74158             6.74158                   0
       476             6.74368             6.74368                   0
       477             6.74578             6.74578                   0
       478             6.74787             6.74787                   0
       479             6.74996             6.74996                   0
       480             6.75204             6.75204                   0
       481             6.75412             6.75412                   0
       482              6.7562              6.7562                   0
       483             6.75827             6.75827                   0
       484             6.76033             6.76033                   0
       485              6.7624              6.7624                   0
       486             6.76445             6.76445                   0
       487             6.76651             6.76651                   0
       488             6.76856             6.76856                   0
       489              6.7706              6.7706                   0
       490             6.77264             6.77264                   0
       491             6.77468             6.77468                   0
       492             6.77671             6.77671                   0
       493             6.77874             6.77874                   0
       494             6.78076             6.78076                   0
       495             6.78278             6.78278                   0
       496              6.7848              6.7848                   0
       497             6.78681             6.78681                   0
       498             6.78882             6.78882                   0
       499             6.79082             6.79082                   0
       500             6.79282             6.79282                   0
       501             6.79482             6.79482                   0
       502             6.79681             6.79681                   0
       503              6.7988              6.7988                   0
       504             6.80078             6.80078                   0
       505             6.80276             6.80276                   0
       506             6.80474             6.80474                   0
       507             6.80671             6.80671                   0
       508             6.80868             6.80868                   0
       509             6.81065             6.81065                   0
       510             6.81261             6.81261                   0
       511             6.81456             6.81456                   0
       512             6.81652             6.81652                   0
       513             6.81847             6.81847                   0
       514             6.82041             6.82041                   0
       515             6.82235             6.82235                   0
       516             6.82429             6.82429                   0
       517             6.82623             6.82623                   0
       518             6.82816             6.82816         5.42101e-20
       519             6.83008             6.83008         5.42101e-20
       520             6.83201             6.83201         5.42101e-20
       521             6.83393             6.83393         5.42101e-20
       522             6.83584             6.83584                   0
       523             6.83775             6.83775         5.42101e-20
       524             6.83966             6.83966                   0
       525             6.84157             6.84157                   0
       526             6.84347             6.84347                   0
       527             6.84536             6.84536                   0
       528             6.84726             6.84726                   0
       529             6.84915             6.84915                   0
       530             6.85104             6.85104         5.42101e-20
       531             6.85292             6.85292                   0
       532              6.8548              6.8548                   0
       533             6.85667             6.85667                   0
       534             6.85855             6.85855                   0
       535             6.86042             6.86042                   0
       536             6.86228             6.86228                   0
       537             6.86414             6.86414                   0
       538               6.866               6.866                   0
       539             6.86786             6.86786                   0
       540             6.86971             6.86971                   0
       541             6.87156             6.87156                   0
       542              6.8734              6.8734          1.0842e-19
       543             6.87525             6.87525          1.0842e-19
       544             6.87708             6.87708          1.0842e-19
       545             6.87892             6.87892          1.0842e-19
       546             6.88075             6.88075          1.0842e-19
       547             6.88258             6.88258                   0
       548              6.8844              6.8844          1.0842e-19
       549             6.88622             6.88622          1.0842e-19
       550             6.88804             6.88804                   0
       551             6.88986             6.88986                   0
       552             6.89167             6.89167          1.0842e-19
       553             6.89348             6.89348                   0
       554             6.89528             6.89528          1.0842e-19
       555             6.89708             6.89708          1.0842e-19
       556             6.89888             6.89888          1.0842e-19
       557             6.90068             6.90068          1.0842e-19
       558             6.90247             6.90247          1.0842e-19
       559             6.90426             6.90426          1.0842e-19
       560             6.90605             6.90605                   0
       561             6.90783             6.90783                   0
